,kept,deleted
0,Gm10925,ND4
2,Pten,Reps2
4,Apob,Ubr3
5,Eif4g2,Ubxn2a
11,Birc6,Nf1
13,Taok1,Nf1
14,Uhmk1,Hipk1
17,Erbin,Pdpk1
20,Cox7c,Atp5l
24,Apob,Cltc
27,Fdps,Lss
29,Jak1,Dhx9
30,Birc6,Herc2
35,Xiap,Itga1
38,Gm10925,CYTB
42,Rps8,Rpl14
43,Abca1,Notch2
46,Rpl15,Rpl27a
47,Cox7c,Rpl31
48,Cox7b,Rps27l
49,Atp13a3,Lmbrd2
51,Lnpep,Itgav
52,Gm10925,ATP8
54,Taok1,Mib1
57,Birc6,Zzef1
58,Cox4i1,Uqcr10
59,Ndufb9,Uqcrh
63,Rps8,Rps17
68,Ndufb9,Cox7a2
72,Smurf2,Dnajc13
76,Atp13a3,Cpne3
78,Kdr,Abcc9
79,Rps8,Rps27a
82,Ndufs4,Atp5l
85,Gm10925,ND5
87,Fam91a1,Zyg11b
93,Taok1,Ascc3
97,Cyfip1,Ube3c
100,Med13,Map3k2
104,Atp13a3,Cnot1
111,Cox7c,Rps23
117,Uqcrb,Ndufv2
124,Atp5e,Ndufb1
131,Birc6,Dmxl1
133,Snrnp70,Leng8
135,Lrp6,Ipo8
138,Rps6,Rpl27a
139,Pdpr,Prkaa2
140,Atp5md,Tmem256
149,Rpl13a,Rps15a
152,Cct6a,Eif2s1
153,Apob,Usp9x
154,Rpl17,Rps12
155,Gm10925,Gm10222
158,Taok1,Nbeal1
159,Csde1,Larp4
161,Gm10925,ND1
164,Ndufb9,Uqcr10
169,Yme1l1,Klhl9
175,Cox7b,Ndufb1
177,Csde1,Itgav
184,Rps8,Rps19
187,Atp13a3,Dennd4c
189,Rps8,Rpl32
193,Birc6,Vps13d
195,Ptprb,Setx
198,Idi1,Cyp51
202,Xiap,Anapc1
203,Acnat1,Wapl
205,Apob,Usp24
207,Gm10925,ND2
209,Zfp148,Dmxl1
216,Ndufs4,C1d
217,Birc6,Nbeal1
224,Rps27,Ndufa7
226,Ireb2,Pkn2
227,Apob,Gcc2
231,Apob,Setx
236,Apob,Ranbp2
237,Ptprb,Sptbn1
238,Lamc1,Nid1
242,Prpf8,Cnot1
243,Atp5e,Tmem256
244,Birc6,Vcpip1
247,Rpsa,Rps5
248,Rpl34,Pfdn5
250,Ipo7,Dhx9
251,Ireb2,Dennd4c
254,Birc6,Trip11
255,Dsp,Zfp652
256,Rpl37a,Rps13
258,Vps35,Sacm1l
